source,target
10 Years band,Breaking Benjamin
10 Years band,Mudvayne
10 Years band,Korn
10 Years band,Deftones
10 Years band,Stone Temple Pilots
10 Years band,Thousand Foot Krutch
10 Years band,Linkin Park
10 Years band,Shinedown
10 Years band,Puddle of Mudd
10 Years band,AllMusic
10cc,Rock music
10cc,AllMusic
10cc,The Yardbirds
10cc,The Hollies
10cc,The Beatles
10cc,The Moody Blues
10cc,Frank Zappa
10cc,Roxy Music
10cc,George Harrison
10cc,The Police
10cc,Duran Duran
10cc,Peter Gabriel
10cc,The Clash
10cc,Ramones
10cc,Paul McCartney
10cc,Ringo Starr
10cc,ABBA
10cc,Steely Dan
10cc,Electric Light Orchestra
311 band,Rock music
311 band,The Cure
311 band,Papa Roach
311 band,The Offspring
311 band,Sublime with Rome
311 band,Pink Floyd
311 band,The Rolling Stones
311 band,John Lennon
311 band,Billy Joel
311 band,Deftones
311 band,The Clash
311 band,Red Hot Chili Peppers
311 band,Led Zeppelin
311 band,Faith No More
38 Special band,Rock music
38 Special band,Lynyrd Skynyrd
38 Special band,The Who
38 Special band,The Rolling Stones
38 Special band,Peter Frampton
38 Special band,Bryan Adams
38 Special band,Huey Lewis and the News
38 Special band,Bon Jovi
38 Special band,Jefferson Starship
38 Special band,The Cars
38 Special band,Billy Joel
38 Special band,Ted Nugent
38 Special band,REO Speedwagon
3 Doors Down,AllMusic
3 Doors Down,Rock music
3 Doors Down,Lynyrd Skynyrd
3 Doors Down,Nickelback
3 Doors Down,Bob Seger
3 Doors Down,Puddle of Mudd
3 Doors Down,ZZ Top
3 Doors Down,Shinedown
3 Doors Down,Alter Bridge
3 Doors Down,Staind
3 Doors Down,Hinder
ABBA,The Beatles
ABBA,The Sweet
ABBA,Led Zeppelin
ABBA,U2
ABBA,Robert Plant
ABBA,Iron Maiden
ABBA,Bee Gees
ACDC,The Velvet Underground
ACDC,The Rolling Stones
ACDC,Chuck Berry
ACDC,The Beatles
ACDC,Lou Reed
ACDC,Deep Purple
ACDC,Black Sabbath
ACDC,Ozzy Osbourne
ACDC,Ted Nugent
ACDC,Aerosmith
